路径编号,路径名称,步骤,用户操作,系统响应,结果状态
A,浏览与选用预置场景,1,点击二级导航「场景定义」,打开列表页展示引导+预置+自定义,浏览态
A,浏览与选用预置场景,2,（可选）输入搜索词,过滤卡片,浏览态
A,浏览与选用预置场景,3,点击预置卡片「场景流程开发」,startNewFlowFromModuleTemplate进入工作台,流程开发态
A,浏览与选用预置场景,4,在工作台操作,左侧首模块选中右侧展示操作流程分段,流程开发态
B,创建自定义场景,1,点击「+ 新增业务场景」,进入空白编辑页,编辑态
B,创建自定义场景,2,左栏点击操作chip,右侧追加同leafId不可重复,编辑态
B,创建自定义场景,3,（可选）大模块↑↓,整组与相邻大模块交换,编辑态
B,创建自定义场景,4,（可选）小操作×,移除该操作chip恢复可点,编辑态
B,创建自定义场景,5,填写名称描述选择上线/下线,表单赋值,编辑态
B,创建自定义场景,6,点击「保存模板」,校验→写localStorage→回列表Toast,列表态
B,创建自定义场景,7,（可选）点击「上线」,新建流程弹窗可见该场景,可共享态
C,管理已有自定义场景,1,列表找到自定义卡片,展示徽标创建人时间开发思路,浏览态
C,管理已有自定义场景,2,点击「编辑」,回填名称描述模块顺序上线状态,编辑态
C,管理已有自定义场景,3,点击「下线」,published=false按钮变「上线」,已下线
C,管理已有自定义场景,4,点击「上线」,published=true显示「场景流程开发」,已上线
C,管理已有自定义场景,5,已上线时点击「场景流程开发」,进入工作台,流程开发态
D,从新建流程选用场景,1,Hub页点击「新建流程」,打开「选择模板」弹窗,弹窗态
D,从新建流程选用场景,2,选择预置或已上线自定义卡片,startNewFlowFromModuleTemplate,流程开发态
D,从新建流程选用场景,3,进入工作台,操作流程按场景分组展示,流程开发态
